# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 0,981,0,50,2,0,304.23177230052147,6.1954471062917644,334.97636812865125,-83.05358791858869,3.0017936978157804,5.5643106407964431E-10,0.43907246812753636,2.7183222638005273,5.7116707899336951,2.9095221103477864
DP 1,966.1,170.35,50,2,10,279.517159104942,5.6076741787928714,297.82911523040462,-77.42621603642678,2.6283403231936355,4.1047405833898604E-10,0.38634746961557942,2.9586734590755874,7.2411062350766571,3.168717929441923
DP 2,921.84,335.52,50,2,20,246.30903324832715,4.8703975658953116,251.63147016536317,-69.376042381060643,2.18614027982814,6.1205614898208433E-10,0.32192414620164145,3.3575707276891626,10.308559505031317,3.5986622405626871
DP 3,1226.25,0,50,2.5,0,380.28971057104019,7.744308880424521,418.72045704287291,-103.81698565411192,3.7522421228501623,6.8169201687902641E-10,0.54884059970125454,2.1746578385152282,4.5693366898464127,2.327617617340954
DP 4,1207.62,212.94,50,2.5,10,349.39460431590913,7.0095540939602135,372.28422580348882,-96.782283387414822,3.2854053938345351,5.188700558393313E-10,0.48293141419942265,2.366951263083211,5.7929320268423021,2.5349877716262061
DP 5,1152.3,419.4,50,2.5,20,307.88628639934967,6.08799695601477,314.53933425549036,-86.720051956094466,2.7326753466803018,7.4212060700727434E-10,0.402405189981714,2.6860566271773605,8.2468477277301826,2.8789297808245591
DP 6,1471.5,0,50,3,0,456.34765161617423,9.2931706580752245,502.46454263108217,-124.58038135061635,4.5026905464167042,8.1611283255396954E-10,0.658608732225367,1.8122148696747864,3.807780483036153,1.9396814126021147
DP 7,1449.14,255.52,50,3,10,419.2732231816056,8.4114624391926931,446.74120647228233,-116.13861161762014,3.9424894431573461,9.7596104993014887E-10,0.57951804812997465,1.9724608066415676,4.8274223856907765,2.1124912806780043
DP 8,1382.76,503.28,50,3,20,369.46353866905469,7.3055963481795745,377.44720020264128,-104.0640624118284,3.2792104161107294,7.973793340289359E-10,0.4828862341302631,2.2383805530016905,6.8723731752963744,2.3991081504020522
DP 9,1716.75,0,50,3.5,0,532.40560050662862,10.842032429234125,586.20863788187989,-145.34378043710674,5.2531389458559721,1.2023460422712353E-09,0.76837686379870118,1.5533270108598409,3.263811921582215,1.6625840214678156
